R,G,B
67.64,-9.360000000000014,-42.599999999999994
67.64,-9.360000000000014,-42.599999999999994
67.64,-9.360000000000014,-42.599999999999994
67.64,-9.360000000000014,-42.599999999999994
67.64,-9.360000000000014,-42.599999999999994
67.64,-9.360000000000014,-42.599999999999994
67.64,-9.360000000000014,-42.599999999999994
67.64,-9.360000000000014,-42.599999999999994
67.64,-9.360000000000014,-42.599999999999994
67.64,-9.360000000000014,-42.599999999999994
67.64,-9.360000000000014,-42.599999999999994
67.64,-9.360000000000014,-42.599999999999994
67.64,-9.360000000000014,-42.599999999999994
67.64,-9.360000000000014,-42.599999999999994
67.64,-9.360000000000014,-42.599999999999994
67.64,-9.360000000000014,-42.599999999999994
69.64,-9.360000000000014,-41.599999999999994
69.64,-9.360000000000014,-41.599999999999994
68.64,-10.360000000000014,-42.599999999999994
67.64,-11.360000000000014,-42.599999999999994
67.64,-11.360000000000014,-42.599999999999994
68.64,-10.360000000000014,-42.599999999999994
68.64,-10.360000000000014,-42.599999999999994
69.64,-9.360000000000014,-41.599999999999994
69.64,-9.360000000000014,-41.599999999999994
69.64,-9.360000000000014,-41.599999999999994
69.64,-9.360000000000014,-41.599999999999994
69.64,-9.360000000000014,-41.599999999999994
69.64,-8.360000000000014,-42.599999999999994
69.64,-8.360000000000014,-42.599999999999994
69.64,-8.360000000000014,-42.599999999999994
69.64,-8.360000000000014,-42.599999999999994
68.64,-10.360000000000014,-42.599999999999994
68.64,-10.360000000000014,-42.599999999999994
68.64,-10.360000000000014,-42.599999999999994
68.64,-10.360000000000014,-42.599999999999994
68.64,-10.360000000000014,-42.599999999999994
68.64,-10.360000000000014,-42.599999999999994
68.64,-10.360000000000014,-42.599999999999994
68.64,-10.360000000000014,-42.599999999999994
67.64,-11.360000000000014,-42.599999999999994
68.64,-10.360000000000014,-42.599999999999994
68.64,-10.360000000000014,-42.599999999999994
68.64,-10.360000000000014,-42.599999999999994
68.64,-10.360000000000014,-41.599999999999994
