R,G,B
71.6,-1.4000000000000057,-38.400000000000006
70.6,-2.4000000000000057,-38.400000000000006
70.6,-2.4000000000000057,-38.400000000000006
70.6,-2.4000000000000057,-38.400000000000006
70.6,-2.4000000000000057,-38.400000000000006
70.6,-2.4000000000000057,-38.400000000000006
70.6,-2.4000000000000057,-38.400000000000006
70.6,-2.4000000000000057,-38.400000000000006
71.6,-2.4000000000000057,-37.400000000000006
71.6,-2.4000000000000057,-37.400000000000006
71.6,-2.4000000000000057,-37.400000000000006
71.6,-2.4000000000000057,-37.400000000000006
70.6,-3.4000000000000057,-38.400000000000006
70.6,-3.4000000000000057,-38.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
73.6,-2.4000000000000057,-37.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
72.6,-2.4000000000000057,-38.400000000000006
73.6,-1.4000000000000057,-38.400000000000006
73.6,-1.4000000000000057,-38.400000000000006
73.6,-1.4000000000000057,-38.400000000000006
73.6,-1.4000000000000057,-38.400000000000006
73.6,-1.4000000000000057,-38.400000000000006
73.6,-1.4000000000000057,-38.400000000000006
73.6,-1.4000000000000057,-38.400000000000006
73.6,-1.4000000000000057,-38.400000000000006
73.6,-1.4000000000000057,-38.400000000000006
73.6,-2.4000000000000057,-37.400000000000006
73.6,-2.4000000000000057,-37.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
72.6,-4.400000000000006,-36.400000000000006
72.6,-4.400000000000006,-36.400000000000006
73.6,-3.4000000000000057,-35.400000000000006
71.6,-5.400000000000006,-37.400000000000006
70.6,-6.400000000000006,-38.400000000000006
71.6,-5.400000000000006,-37.400000000000006
69.6,-5.400000000000006,-37.400000000000006
69.6,-5.400000000000006,-37.400000000000006
69.6,-5.400000000000006,-37.400000000000006
69.6,-5.400000000000006,-37.400000000000006
69.6,-4.400000000000006,-38.400000000000006
70.6,-3.4000000000000057,-38.400000000000006
70.6,-3.4000000000000057,-38.400000000000006
70.6,-3.4000000000000057,-38.400000000000006
71.6,-4.400000000000006,-38.400000000000006
71.6,-4.400000000000006,-38.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
73.6,-1.4000000000000057,-38.400000000000006
73.6,-1.4000000000000057,-38.400000000000006
73.6,-1.4000000000000057,-38.400000000000006
74.6,-0.4000000000000057,-37.400000000000006
73.6,-1.4000000000000057,-38.400000000000006
72.6,-2.4000000000000057,-38.400000000000006
73.6,-1.4000000000000057,-38.400000000000006
74.6,-0.4000000000000057,-37.400000000000006
75.6,0.5999999999999943,-36.400000000000006
74.6,-0.4000000000000057,-37.400000000000006
73.6,-1.4000000000000057,-38.400000000000006
72.6,-2.4000000000000057,-38.400000000000006
72.6,-2.4000000000000057,-38.400000000000006
73.6,-1.4000000000000057,-38.400000000000006
73.6,-1.4000000000000057,-38.400000000000006
73.6,-1.4000000000000057,-38.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
72.6,-2.4000000000000057,-38.400000000000006
72.6,-2.4000000000000057,-38.400000000000006
72.6,-2.4000000000000057,-38.400000000000006
72.6,-2.4000000000000057,-38.400000000000006
71.6,-4.400000000000006,-38.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
72.6,-3.4000000000000057,-38.400000000000006
72.6,-4.400000000000006,-36.400000000000006
72.6,-4.400000000000006,-36.400000000000006
73.6,-2.4000000000000057,-37.400000000000006
73.6,-2.4000000000000057,-37.400000000000006
73.6,-2.4000000000000057,-37.400000000000006
73.6,-2.4000000000000057,-37.400000000000006
73.6,-1.4000000000000057,-38.400000000000006
72.6,-2.4000000000000057,-38.400000000000006
72.6,-2.4000000000000057,-38.400000000000006
72.6,-2.4000000000000057,-38.400000000000006
72.6,-2.4000000000000057,-38.400000000000006
72.6,-2.4000000000000057,-38.400000000000006
73.6,-1.4000000000000057,-38.400000000000006
73.6,-1.4000000000000057,-38.400000000000006
73.6,-1.4000000000000057,-38.400000000000006
73.6,-1.4000000000000057,-38.400000000000006
