R,G,B
73.72,-2.280000000000001,-36.28
73.72,-2.280000000000001,-36.28
72.72,-3.280000000000001,-36.28
72.72,-3.280000000000001,-36.28
72.72,-3.280000000000001,-36.28
72.72,-3.280000000000001,-36.28
72.72,-3.280000000000001,-36.28
72.72,-3.280000000000001,-36.28
72.72,-3.280000000000001,-36.28
72.72,-3.280000000000001,-36.28
72.72,-3.280000000000001,-36.28
72.72,-3.280000000000001,-36.28
72.72,-3.280000000000001,-36.28
72.72,-3.280000000000001,-36.28
72.72,-3.280000000000001,-36.28
72.72,-3.280000000000001,-36.28
74.72,-4.280000000000001,-36.28
74.72,-4.280000000000001,-36.28
75.72,-3.280000000000001,-36.28
75.72,-3.280000000000001,-36.28
75.72,-3.280000000000001,-36.28
75.72,-3.280000000000001,-36.28
75.72,-3.280000000000001,-36.28
75.72,-3.280000000000001,-36.28
75.72,-3.280000000000001,-36.28
75.72,-3.280000000000001,-36.28
75.72,-3.280000000000001,-36.28
75.72,-3.280000000000001,-36.28
75.72,-3.280000000000001,-36.28
75.72,-3.280000000000001,-36.28
75.72,-3.280000000000001,-36.28
76.72,-2.280000000000001,-35.28
75.72,-3.280000000000001,-36.28
75.72,-3.280000000000001,-36.28
75.72,-3.280000000000001,-36.28
74.72,-4.280000000000001,-36.28
74.72,-4.280000000000001,-36.28
74.72,-4.280000000000001,-36.28
73.72,-2.280000000000001,-36.28
73.72,-2.280000000000001,-36.28
73.72,-2.280000000000001,-36.28
73.72,-2.280000000000001,-36.28
73.72,-2.280000000000001,-36.28
74.72,-1.2800000000000011,-35.28
76.72,-2.280000000000001,-35.28
75.72,-3.280000000000001,-36.28
75.72,-3.280000000000001,-36.28
75.72,-3.280000000000001,-36.28
73.72,-2.280000000000001,-36.28
73.72,-2.280000000000001,-36.28
74.72,-1.2800000000000011,-35.28
73.72,-2.280000000000001,-36.28
73.72,-2.280000000000001,-36.28
72.72,-3.280000000000001,-36.28
72.72,-3.280000000000001,-36.28
72.72,-3.280000000000001,-36.28
73.72,-2.280000000000001,-36.28
73.72,-2.280000000000001,-36.28
72.72,-3.280000000000001,-36.28
72.72,-3.280000000000001,-36.28
73.72,-2.280000000000001,-36.28
73.72,-2.280000000000001,-36.28
73.72,-2.280000000000001,-36.28
73.72,-2.280000000000001,-36.28
72.72,-3.280000000000001,-36.28
73.72,-2.280000000000001,-36.28
73.72,-2.280000000000001,-36.28
73.72,-2.280000000000001,-36.28
73.72,-2.280000000000001,-36.28
73.72,-2.280000000000001,-36.28
73.72,-2.280000000000001,-36.28
73.72,-2.280000000000001,-36.28
73.72,-2.280000000000001,-36.28
73.72,-2.280000000000001,-36.28
73.72,-2.280000000000001,-36.28
73.72,-2.280000000000001,-36.28
73.72,-3.280000000000001,-34.28
73.72,-3.280000000000001,-34.28
73.72,-3.280000000000001,-34.28
73.72,-3.280000000000001,-34.28
72.72,-3.280000000000001,-36.28
