R,G,B
83,76,21
82,75,20
82,75,20
80,73,18
80,73,18
81,74,19
82,75,20
83,76,21
82,75,18
81,74,17
81,74,17
80,73,16
81,74,17
82,75,18
83,76,19
83,76,19
83,76,19
83,76,19
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
83,76,19
82,75,18
84,77,20
83,76,19
83,76,19
83,76,19
84,77,20
84,77,20
84,77,20
85,78,21
83,76,19
83,76,19
84,77,20
84,77,20
84,77,20
83,76,19
84,77,20
85,78,21
84,77,20
83,76,19
82,75,18
81,74,17
82,75,18
83,76,19
84,77,20
84,77,20
84,77,20
83,76,19
83,76,19
83,76,19
83,76,19
83,76,19
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,78,19
84,78,19
84,78,19
84,78,19
84,78,19
83,77,18
82,76,17
82,76,17
83,77,18
83,77,18
84,78,19
83,77,18
84,78,19
85,79,20
85,79,20
85,79,20
85,79,20
85,79,20
86,80,21
86,80,21
85,78,21
86,79,22
86,79,22
86,79,22
86,79,22
86,79,22
86,79,22
87,80,23
85,78,21
85,78,21
85,78,21
85,78,21
85,78,21
85,78,21
84,78,19
83,77,18
82,76,17
82,76,17
83,77,18
84,78,19
84,78,19
85,79,20
84,78,19
84,78,19
84,78,19
83,77,18
83,77,18
83,77,18
83,77,18
83,77,18
84,78,19
84,78,19
85,79,20
85,79,20
85,78,21
85,78,21
85,78,21
84,77,20
84,77,20
84,77,20
82,75,18
83,76,19
84,77,20
84,77,20
85,78,21
85,78,21
85,78,21
85,78,21
85,78,21
85,78,21
85,78,21
84,77,20
83,76,19
82,75,18
82,75,18
83,76,19
83,76,19
83,76,19
83,76,19
83,76,19
83,76,19
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
85,78,21
85,78,21
85,78,21
84,77,20
83,76,19
82,75,18
84,78,19
83,77,18
83,77,18
84,78,19
83,77,18
83,77,18
82,76,17
80,76,17
81,78,17
79,78,17
81,78,17
80,77,16
79,76,15
79,76,15
80,76,17
81,77,18
80,76,17
81,77,18
81,77,18
81,77,18
80,76,17
80,76,17
80,76,17
79,75,16
81,77,18
80,76,17
79,75,16
80,76,17
80,76,17
80,76,17
80,76,17
80,76,17
80,76,17
81,77,18
81,77,18
82,78,19
82,78,19
83,79,20
84,80,21
83,79,20
84,78,19
84,78,19
84,78,19
84,78,19
85,79,20
85,79,20
85,79,20
85,79,20
84,78,19
84,78,19
83,77,18
82,76,17
82,76,17
83,77,18
84,78,19
84,78,19
84,78,19
84,78,19
84,78,19
84,78,19
83,77,18
83,77,18
81,77,18
82,78,19
80,76,17
82,78,19
82,78,19
80,76,17
80,76,17
82,78,19
82,78,19
79,75,16
77,73,14
78,74,15
79,75,16
79,75,16
79,75,16
79,75,16
79,75,16
80,76,17
81,77,18
81,77,18
83,76,21
82,75,20
81,74,19
80,73,18
80,73,18
81,74,19
82,75,20
82,75,20
81,74,17
81,74,17
81,74,17
81,74,17
81,74,17
82,75,18
83,76,19
83,76,19
82,75,18
83,76,19
83,76,19
83,76,19
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
83,76,19
83,76,19
83,76,19
84,77,20
83,76,19
83,76,19
83,76,19
83,76,19
83,76,19
84,77,20
85,78,21
83,76,19
83,76,19
84,77,20
84,77,20
84,77,20
83,76,19
84,77,20
85,78,21
83,76,19
82,75,18
81,74,17
81,74,17
82,75,18
83,76,19
84,77,20
84,77,20
84,77,20
83,76,19
83,76,19
83,76,19
83,76,19
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,78,19
84,78,19
84,78,19
84,78,19
84,78,19
84,78,19
83,77,18
83,77,18
83,77,18
84,78,19
84,78,19
83,77,18
84,78,19
85,79,20
85,79,20
85,79,20
85,79,20
85,79,20
86,80,21
86,80,21
86,79,22
86,79,22
86,79,22
86,79,22
86,79,22
85,78,21
86,79,22
86,79,22
85,78,21
85,78,21
84,77,20
85,78,21
85,78,21
84,77,20
84,78,19
83,77,18
82,76,17
83,77,18
84,78,19
84,78,19
84,78,19
84,78,19
84,78,19
83,77,18
83,77,18
83,77,18
83,77,18
83,77,18
83,77,18
84,78,19
84,78,19
84,78,19
86,80,21
85,79,20
85,78,21
85,78,21
84,77,20
84,77,20
83,76,19
83,76,19
83,76,19
83,76,19
83,76,19
84,77,20
85,78,21
85,78,21
85,78,21
85,78,21
85,78,21
85,78,21
85,78,21
84,77,20
83,76,19
83,76,19
83,76,19
83,76,19
83,76,19
83,76,19
83,76,19
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
83,76,19
83,76,19
83,76,19
83,77,18
83,77,18
83,77,18
83,77,18
83,77,18
82,76,17
82,76,17
82,76,17
80,77,16
79,78,17
81,78,17
80,77,16
79,76,15
79,76,15
79,75,16
81,77,18
80,76,17
80,76,17
80,76,17
80,76,17
80,76,17
80,76,17
80,76,17
80,76,17
80,76,17
79,75,16
79,75,16
80,76,17
80,76,17
80,76,17
80,76,17
80,76,17
80,76,17
81,77,18
81,77,18
81,77,18
82,78,19
83,79,20
83,79,20
83,79,20
84,78,19
83,77,18
83,77,18
84,78,19
84,78,19
85,79,20
85,79,20
85,79,20
84,78,19
83,77,18
82,76,17
82,76,17
82,76,17
83,77,18
83,77,18
83,77,18
84,78,19
84,78,19
84,78,19
84,78,19
83,77,18
83,77,18
81,77,18
81,77,18
81,77,18
82,78,19
82,78,19
80,76,17
80,76,17
82,78,19
82,78,19
79,75,16
78,74,15
79,75,16
80,76,17
80,76,17
79,75,16
79,75,16
79,75,16
80,76,17
81,77,18
81,77,18
83,76,21
82,75,20
80,73,18
79,72,17
81,74,19
82,75,20
82,75,20
81,74,19
81,74,17
81,74,17
81,74,17
81,74,17
81,74,17
82,75,18
82,75,18
82,75,18
82,75,18
82,75,18
82,75,18
83,76,19
83,76,19
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
83,76,19
83,76,19
83,76,19
84,77,20
84,77,20
83,76,19
83,76,19
83,76,19
84,77,20
84,77,20
84,77,20
85,78,21
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
83,76,19
84,77,20
85,78,21
83,76,19
82,75,18
82,75,18
82,75,18
83,76,19
84,77,20
84,77,20
83,76,19
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
83,76,19
83,76,19
84,77,20
84,77,20
84,77,20
85,78,21
85,78,21
85,78,21
85,78,21
84,77,20
84,77,20
84,77,20
84,77,20
84,77,20
84,78,19
84,78,19
84,78,19
84,78,19
84,78,19
84,78,19
84,78,19
84,78,19
84,78,19
84,78,19
84,78,19
83,77,18
85,79,20
85,79,20
85,79,20
85,79,20
85,79,20
85,79,20
86,80,21
86,80,21
86,79,22
86,79,22
86,79,22
86,79,22
85,78,21
85,78,21
85,78,21
85,78,21
85,78,21
85,78,21
85,78,21
85,78,21
85,79,20
85,79,20
84,78,19
83,77,18
83,77,18
84,78,19
84,78,19
85,79,20
85,79,20
84,78,19
84,78,19
83,77,18
83,77,18
83,77,18
83,77,18
84,78,19
84,78,19
84,78,19
84,78,19
84,78,19
85,79,20
85,79,20
85,79,20
84,78,19
84,77,20
84,77,20
83,76,19
