R,G,B
77,47,0
78,48,1
76,48,1
76,48,1
76,48,1
76,48,1
74,48,1
74,48,1
72,46,0
72,46,0
72,46,0
72,46,0
72,46,0
72,46,0
74,46,0
74,46,0
72,46,0
72,46,0
72,46,0
73,47,1
75,47,0
76,48,1
76,48,1
76,48,1
78,48,0
78,48,0
78,48,0
79,49,0
80,50,1
79,49,0
78,48,0
77,47,0
75,46,1
75,46,2
75,46,1
75,46,1
75,47,0
76,48,1
76,49,0
76,49,0
77,50,0
77,50,0
77,49,2
77,49,2
76,48,1
75,47,0
76,47,2
77,49,2
77,50,0
77,50,0
78,51,1
77,50,0
79,49,0
79,49,0
79,49,0
79,49,0
79,49,0
79,49,0
79,49,0
79,49,0
79,49,0
79,49,0
79,49,0
79,49,0
81,49,0
81,49,0
81,49,0
81,49,0
79,49,0
79,49,0
79,49,0
79,49,0
79,49,2
78,48,1
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
78,48,1
81,48,2
80,47,1
80,47,1
81,48,2
79,49,0
79,49,0
79,49,0
79,49,0
77,50,0
77,50,0
77,50,0
77,50,0
77,50,0
77,50,0
77,50,0
77,50,0
77,50,0
77,50,0
80,50,1
80,50,1
80,50,1
80,50,1
79,49,0
79,49,0
79,49,0
79,49,0
80,50,1
80,50,1
80,50,1
80,50,1
79,49,0
79,49,0
80,50,3
80,50,3
79,49,2
79,49,2
79,49,0
79,49,0
78,48,0
78,48,0
80,50,1
79,49,0
79,49,0
79,49,0
79,49,0
79,49,0
79,49,0
79,49,0
79,49,0
79,49,0
79,49,0
79,49,0
79,49,0
78,48,0
78,48,1
78,48,1
76,46,0
76,46,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,0
78,48,0
78,48,0
78,48,0
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
76,46,0
77,47,0
78,48,1
79,49,2
79,49,2
79,49,0
78,48,0
77,47,0
77,47,0
78,48,0
79,49,0
78,48,0
77,47,0
77,47,0
78,48,0
78,48,0
79,49,0
79,49,0
79,49,0
78,48,0
78,48,0
78,48,1
79,49,2
79,49,2
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
76,46,0
77,47,0
78,48,1
79,49,2
77,47,0
78,48,1
78,48,1
77,47,0
77,47,0
78,48,1
78,48,1
77,47,0
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
76,46,0
77,47,0
77,47,0
77,47,0
78,48,1
79,49,2
79,49,2
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,0
79,49,0
78,48,1
78,48,1
77,47,0
78,48,1
78,48,1
79,49,2
79,49,2
78,48,1
