R,G,B
78,58,0
78,58,0
78,58,0
78,58,0
78,58,0
77,57,0
77,57,0
76,56,0
77,57,0
77,57,0
77,57,0
77,57,0
77,57,0
77,57,0
79,56,0
80,57,1
77,57,0
77,57,0
76,56,0
76,56,0
77,57,0
77,57,0
78,58,0
78,58,0
78,58,0
78,58,0
78,58,0
79,59,1
79,59,1
78,58,0
78,58,0
78,58,0
78,58,0
78,58,0
78,58,0
78,58,0
78,58,0
78,58,0
79,59,2
80,60,3
78,58,1
78,58,1
78,58,1
77,57,0
77,57,0
78,58,1
78,58,1
78,58,1
78,58,0
79,59,1
79,59,1
79,59,1
79,59,1
79,59,1
79,59,1
79,59,1
78,58,0
78,58,0
78,58,0
77,57,0
77,57,0
77,57,0
77,57,0
78,58,0
79,60,3
77,58,1
75,56,0
75,56,0
77,59,0
78,60,1
78,60,1
78,60,1
76,58,0
76,58,0
75,57,0
76,58,0
77,59,0
78,60,1
78,60,1
77,59,0
79,60,0
79,60,0
78,59,0
78,59,0
79,60,0
80,61,0
80,61,0
79,60,0
79,60,0
80,61,0
79,60,0
79,60,0
79,60,0
79,60,0
79,60,0
79,60,0
78,60,1
78,60,1
78,60,1
78,60,1
78,60,1
77,59,0
77,59,0
77,59,0
78,60,1
79,61,2
79,61,2
78,60,1
77,59,0
76,58,0
76,58,0
76,58,0
78,58,0
78,58,0
77,57,0
77,57,0
77,57,0
78,58,0
79,59,1
79,59,1
79,59,1
79,59,1
79,59,1
79,59,1
79,59,1
79,59,1
79,59,1
78,58,0
78,58,0
79,59,1
79,59,1
77,57,0
77,57,0
79,59,1
79,59,1
78,58,0
79,59,1
78,58,0
75,57,0
75,57,0
76,57,0
77,58,1
76,57,0
76,57,0
76,56,0
77,57,0
78,58,1
78,58,1
78,58,1
77,57,0
76,56,0
76,56,0
78,58,0
78,58,0
79,59,1
79,59,1
79,59,1
78,58,0
78,58,0
79,59,1
79,59,1
78,58,0
77,57,0
77,57,0
77,57,0
77,57,0
77,57,0
76,56,0
77,57,0
77,57,0
76,57,0
76,57,0
76,58,0
76,58,0
76,58,0
76,58,0
78,60,1
78,60,1
78,60,1
78,60,1
78,60,1
78,60,1
78,60,0
78,60,0
78,60,0
78,60,0
78,60,0
78,60,0
78,60,0
78,60,0
79,61,0
79,61,0
79,59,1
79,59,1
77,59,0
76,58,0
76,57,0
77,58,1
76,59,2
75,58,1
75,58,1
74,57,0
76,57,0
75,56,0
76,58,0
77,59,0
79,59,1
79,59,1
78,60,1
77,59,0
77,59,0
77,59,0
77,59,0
77,59,0
77,58,1
78,59,2
77,58,1
77,58,1
77,58,1
77,58,1
76,57,0
76,57,0
75,56,0
75,57,0
77,59,0
77,59,0
78,60,0
79,61,0
79,61,2
77,59,0
76,58,0
74,56,0
75,57,0
77,59,0
77,58,1
76,57,0
75,56,0
76,57,0
77,58,1
77,58,1
78,60,1
78,60,1
77,59,0
77,59,0
76,58,0
77,59,0
77,59,0
76,58,0
77,59,0
77,59,0
78,58,0
78,58,0
79,59,1
79,59,1
79,59,1
78,58,0
78,58,0
77,57,0
77,57,0
77,57,0
78,58,0
78,58,0
78,58,0
78,58,0
79,56,0
79,56,0
77,57,0
77,57,0
77,57,0
77,57,0
77,57,0
78,58,1
78,58,0
78,58,0
78,58,0
78,58,0
78,58,0
79,59,1
